C,Bb,Eb,F,G
Fdim/B,Ebdim/A,Abdim/D,Bbdim/E,Cdim/F#
C(addb6)/G,Bb(addb6)/F,Eb(addb6)/Bb,F(addb6)/C,G(addb6)/D
D13(#11)(9)(omit3),C13(#11)(9)(omit3),F13(#11)(9)(omit3),G13(#11)(9)(omit3),A13(#11)(9)(omit3)
D9(#11)(omit3),C9(#11)(omit3),F9(#11)(omit3),G9(#11)(omit3),A9(#11)(omit3)
F-/G,Eb-/F,Ab-/Bb,Bb-/C,C-/D
Ab,Gb,Cb,Db,Eb
Ab(add2),Gb(add2),Cb(add2),Db(add2),Eb(add2)
AbMaj13(#11)(9),GbMaj13(#11)(9),CbMaj13(#11)(9),DbMaj13(#11)(9),EbMaj13(#11)(9)
AbMaj7,GbMaj7,CbMaj7,DbMaj7,EbMaj7
AbMaj7(#11),GbMaj7(#11),CbMaj7(#11),DbMaj7(#11),EbMaj7(#11)
AbMaj7(#5),GbMaj7(#5),CbMaj7(#5),DbMaj7(#5),EbMaj7(#5)
AbMaj9,GbMaj9,CbMaj9,DbMaj9,EbMaj9
AbMaj9(#11),GbMaj9(#11),CbMaj9(#11),DbMaj9(#11),EbMaj9(#11)
Bb,Ab,Db,Eb,F
Bb(add2),Ab(add2),Db(add2),Eb(add2),F(add2)
Bb(add4),Ab(add4),Db(add4),Eb(add4),F(add4)
Bb13,Ab13,Db13,Eb13,F13
Bb13(9),Ab13(9),Db13(9),Eb13(9),F13(9)
Bb7,Ab7,Db7,Eb7,F7
Bb9,Ab9,Db9,Eb9,F9
Ab(add2)/C,Gb(add2)/Bb,Cb(add2)/Eb,Db(add2)/F,Eb(add2)/G
Ab/C,Gb/Bb,Cb/Eb,Db/F,Eb/G
Bb(add2)/D,Ab(add2)/C,Db(add2)/F,Eb(add2)/G,F(add2)/A
Bb/D,Ab/C,Db/F,Eb/G,F/A
Bb7/D,Ab7/C,Db7/F,Eb7/G,F7/A
C-(addb6),Bb-(addb6),Eb-(addb6),F-(addb6),G-(addb6)
C-(b6)(9),Bb-(b6)(9),Eb-(b6)(9),F-(b6)(9),G-(b6)(9)
C-11(9),Bb-11(9),Eb-11(9),F-11(9),G-11(9)
C-7(addb6),Bb-7(addb6),Eb-7(addb6),F-7(addb6),G-7(addb6)
C-9(addb6),Bb-9(addb6),Eb-9(addb6),F-9(addb6),G-9(addb6)
F-11,Eb-11,Ab-11,Bb-11,C-11
F-11(9),Eb-11(9),Ab-11(9),Bb-11(9),C-11(9)
F-13(11),Eb-13(11),Ab-13(11),Bb-13(11),C-13(11)
F-13(11)(9),Eb-13(11)(9),Ab-13(11)(9),Bb-13(11)(9),C-13(11)(9)
F-7,Eb-7,Ab-7,Bb-7,C-7
F-9,Eb-9,Ab-9,Bb-9,C-9
Ab(add2)/Eb,Gb(add2)/Db,Cb(add2)/Gb,Db(add2)/Ab,Eb(add2)/Bb
Ab/Bb,Gb/Ab,Cb/Db,Db/Eb,Eb/F
Ab/Eb,Gb/Db,Cb/Gb,Db/Ab,Eb/Bb
Bb(add2)/F,Ab(add2)/Eb,Db(add2)/Ab,Eb(add2)/Bb,F(add2)/C
Bb/F,Ab/Eb,Db/Ab,Eb/Bb,F/C
Bb13sus,Ab13sus,Db13sus,Eb13sus,F13sus
Bb13sus(9),Ab13sus(9),Db13sus(9),Eb13sus(9),F13sus(9)
Bb13sus(9)(add3),Ab13sus(9)(add3),Db13sus(9)(add3),Eb13sus(9)(add3),F13sus(9)(add3)
Bb13sus(add3),Ab13sus(add3),Db13sus(add3),Eb13sus(add3),F13sus(add3)
Bb7/F,Ab7/Eb,Db7/Ab,Eb7/Bb,F7/C
Bb7sus,Ab7sus,Db7sus,Eb7sus,F7sus
Bb7sus(add3),Ab7sus(add3),Db7sus(add3),Eb7sus(add3),F7sus(add3)
Bb9sus,Ab9sus,Db9sus,Eb9sus,F9sus
Bbsus4,Absus4,Dbsus4,Ebsus4,Fsus4
Bbsus4(add2),Absus4(add2),Dbsus4(add2),Ebsus4(add2),Fsus4(add2)
C-Maj7,Bb-Maj7,Eb-Maj7,F-Maj7,G-Maj7
C-Maj9,Bb-Maj9,Eb-Maj9,F-Maj9,G-Maj9
G+,F+,Bb+,C+,D+
G7(b13),F7(b13),Bb7(b13),C7(b13),D7(b13)
Bb/Ab,Ab/Gb,Db/Cb,Eb/Db,F/Eb
C-(addb6)/G,Bb-(addb6)/F,Eb-(addb6)/Bb,F-(addb6)/C,G-(addb6)/D
Bb13(b9),Ab13(b9),Db13(b9),Eb13(b9),F13(b9)
